celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_avg_judge_score,week2_avg_judge_score,week3_avg_judge_score,week4_avg_judge_score,week5_avg_judge_score,week6_avg_judge_score,week7_avg_judge_score,week8_avg_judge_score,week9_avg_judge_score,week10_avg_judge_score,week11_avg_judge_score,week1_all_judge_score,week2_all_judge_score,week3_all_judge_score,week4_all_judge_score,week5_all_judge_score,week6_all_judge_score,week7_all_judge_score,week8_all_judge_score,week9_all_judge_score,week10_all_judge_score,week11_all_judge_score,week1_rank_judge_score,week2_rank_judge_score,week3_rank_judge_score,week4_rank_judge_score,week5_rank_judge_score,week6_rank_judge_score,week7_rank_judge_score,week8_rank_judge_score,week9_rank_judge_score,week10_rank_judge_score,week11_rank_judge_score,week1_percent_judge_score,week2_percent_judge_score,week3_percent_judge_score,week4_percent_judge_score,week5_percent_judge_score,week6_percent_judge_score,week7_percent_judge_score,week8_percent_judge_score,week9_percent_judge_score,week10_percent_judge_score,week11_percent_judge_score
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,7,7,8,NA,8,8,8,NA,7,7,7,NA,8,8,8,NA,7,7,8,NA,7,7,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,7.333333333333333,8,7,8,7.333333333333333,7,NA,NA,NA,NA,NA,22,24,21,24,22,21,NA,NA,NA,NA,NA,4,4,6,5,7,7,NA,NA,NA,NA,NA,0.09053497942386832,0.0933852140077821,0.09210526315789473,0.10666666666666667,0.11224489795918367,0.11666666666666667,NA,NA,NA,NA,NA
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,7,7,7,NA,8,8,8,NA,8,8,8,NA,9,10,9,NA,8,8,7,NA,8,8,8,NA,8.5,8.5,8.5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,7,8,8,9.333333333333334,7.666666666666667,8,8.5,NA,NA,NA,NA,21,24,24,28,23,24,25.5,NA,NA,NA,NA,6,4,4,3,5,5,4,NA,NA,NA,NA,0.08641975308641975,0.0933852140077821,0.10526315789473684,0.12444444444444444,0.11734693877551021,0.13333333333333333,0.1650485436893204,NA,NA,NA,NA
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,6,6,6,NA,7,7,7,NA,6,7,6,NA,8,8,8,NA,8,8,8,NA,9,8,9,NA,9,8.5,8.5,NA,8.5,8,8.5,NA,8.5,9,8.5,NA,0,0,0,NA,NA,NA,NA,NA,6,7,6.333333333333333,8,8,8.666666666666666,8.666666666666666,8.333333333333334,8.666666666666666,NA,NA,18,21,19,24,24,26,26,25,26,NA,NA,8,6,10,5,4,4,3,5,4,NA,NA,0.07407407407407407,0.08171206225680934,0.08333333333333333,0.10666666666666667,0.12244897959183673,0.14444444444444443,0.16828478964401294,0.18726591760299627,0.23636363636363636,NA,NA
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,7,8,7,NA,9,9,9,NA,8,7,8,NA,10,9,10,NA,9,9,9,NA,8,8,8,NA,9.5,8.5,9.5,NA,9,8,9,NA,9,9.5,9,NA,9.5,9.5,9.5,NA,NA,NA,NA,NA,7.333333333333333,9,7.666666666666667,9.666666666666666,9,8,9.166666666666666,8.666666666666666,9.166666666666666,9.5,NA,22,27,23,29,27,24,27.5,26,27.5,28.5,NA,4,1,5,1,2,5,1,4,3,2,NA,0.09053497942386832,0.10505836575875487,0.10087719298245613,0.1288888888888889,0.1377551020408163,0.13333333333333333,0.1779935275080906,0.1947565543071161,0.25,0.33727810650887574,NA
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,9,9,9,NA,9,9,9,NA,9,9,9,NA,10,9,10,NA,9,10,10,NA,10,10,10,NA,9.5,8,9.5,NA,8.5,9.5,9.5,NA,9.5,9,10,NA,10,10,10,NA,NA,NA,NA,NA,9,9,9,9.666666666666666,9.666666666666666,10,9,9.166666666666666,9.5,10,NA,27,27,27,29,29,30,27,27.5,28.5,30,NA,1,1,1,1,1,1,2,2,1,1,NA,0.1111111111111111,0.10505836575875487,0.11842105263157894,0.1288888888888889,0.14795918367346939,0.16666666666666666,0.17475728155339806,0.20599250936329588,0.2590909090909091,0.35502958579881655,NA
Monica Seles,Jonathan Roberts,Athlete,NA,Yugoslavia,34,6,Eliminated Week 2,11,5,5,5,NA,5,5,5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06172839506172839,0.058365758754863814,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,5,6,5,NA,6,6,5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5.333333333333333,5.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06584362139917696,0.06614785992217899,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,5,5,5,NA,6,7,6,NA,7,7,7,NA,6,7,6,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5,6.333333333333333,7,6.333333333333333,NA,NA,NA,NA,NA,NA,NA,15,19,21,19,NA,NA,NA,NA,NA,NA,NA,11,9,6,9,NA,NA,NA,NA,NA,NA,NA,0.06172839506172839,0.07392996108949416,0.09210526315789473,0.08444444444444445,NA,NA,NA,NA,NA,NA,NA
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8,8,8,NA,9,8,9,NA,7,6,8,NA,8,7,9,NA,9,9,9,NA,9,9,10,NA,8.5,8.5,8.5,NA,9,8.5,9,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,8,8.666666666666666,7,8,9,9.333333333333334,8.5,8.833333333333334,NA,NA,NA,24,26,21,24,27,28,25.5,26.5,NA,NA,NA,2,3,6,5,2,2,4,3,NA,NA,NA,0.09876543209876543,0.10116731517509728,0.09210526315789473,0.10666666666666667,0.1377551020408163,0.15555555555555556,0.1650485436893204,0.19850187265917604,NA,NA,NA
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,6,6,6.5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07341269841269842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6,5,5,NA,5,5,5,NA,6,5,5,NA,8,7,7,NA,7,7,7,NA,5,5,5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5.333333333333333,5,5.333333333333333,7.333333333333333,7,5,NA,NA,NA,NA,NA,16,15,16,22,21,15,NA,NA,NA,NA,NA,12,11,9,5,7,7,NA,NA,NA,NA,NA,0.06349206349206349,0.06787330316742081,0.08040201005025126,0.10837438423645321,0.1076923076923077,0.09375,NA,NA,NA,NA,NA
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,6,6,6.5,NA,7,7,7,NA,7,7,7,NA,8,8,8,NA,7,7,8,NA,8,8,7,NA,8,8,8,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6.166666666666667,7,7,8,7.333333333333333,7.666666666666667,8,NA,NA,NA,NA,18.5,21,21,24,22,23,24,NA,NA,NA,NA,8,4,6,3,5,4,4,NA,NA,NA,NA,0.07341269841269842,0.09502262443438914,0.10552763819095477,0.11822660098522167,0.11282051282051282,0.14375,0.16326530612244897,NA,NA,NA,NA
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,7,6.5,7,NA,7,7,7,NA,7,7,7,NA,7,8,8,NA,10,9,9,NA,8,8,7,NA,8,7,7,NA,8,8,8,NA,8,7.5,7.5,NA,0,0,0,NA,NA,NA,NA,NA,6.833333333333333,7,7,7.666666666666667,9.333333333333334,7.666666666666667,7.333333333333333,8,7.666666666666667,NA,NA,20.5,21,21,23,28,23,22,24,23,NA,NA,6,4,6,4,2,4,5,4,4,NA,NA,0.08134920634920635,0.09502262443438914,0.10552763819095477,0.11330049261083744,0.14358974358974358,0.14375,0.14965986394557823,0.18823529411764706,0.22885572139303484,NA,NA
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,6.5,7.5,7,NA,7,7,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08333333333333333,0.09502262443438914,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6.5,6.5,6.5,NA,7,6,6,NA,8,8,8,NA,6,7,7,NA,9,9,9,NA,7,7,7,NA,8,9,8,NA,8,8,8,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6.5,6.333333333333333,8,6.666666666666667,9,7,8.333333333333334,8,NA,NA,NA,19.5,19,24,20,27,21,25,24,NA,NA,NA,7,8,3,8,3,6,2,4,NA,NA,NA,0.07738095238095238,0.08597285067873303,0.12060301507537688,0.09852216748768473,0.13846153846153847,0.13125,0.17006802721088435,0.18823529411764706,NA,NA,NA
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,7,7,7.5,NA,8,8,8,NA,9,8,8,NA,8,7,7,NA,8,8,9,NA,8,9,8,NA,7,7,7,NA,9.5,8.5,9,NA,8.5,8,8,NA,9,9.5,9,NA,NA,NA,NA,NA,7.166666666666667,8,8.333333333333334,7.333333333333333,8.333333333333334,8.333333333333334,7,9,8.166666666666666,9.166666666666666,NA,21.5,24,25,22,25,25,21,27,24.5,27.5,NA,3,1,2,5,4,3,6,2,2,2,NA,0.08531746031746032,0.1085972850678733,0.12562814070351758,0.10837438423645321,0.1282051282051282,0.15625,0.14285714285714285,0.21176470588235294,0.24378109452736318,0.3235294117647059,NA
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,4,4,4,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047619047619047616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,7.5,7,8,NA,7,8,8,NA,8,7,7,NA,7,7,8,NA,7,7,8,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,7.5,7.666666666666667,7.333333333333333,7.333333333333333,7.333333333333333,NA,NA,NA,NA,NA,NA,22.5,23,22,22,22,NA,NA,NA,NA,NA,NA,2,3,4,5,5,NA,NA,NA,NA,NA,NA,0.08928571428571429,0.10407239819004525,0.11055276381909548,0.10837438423645321,0.11282051282051282,NA,NA,NA,NA,NA,NA
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,7.5,6,8,NA,7,6,7,NA,8,7,7,NA,9,8,9,NA,7,7,7,NA,9,9,9,NA,9,7,9,NA,8.5,7.5,9,NA,10,9,9.5,NA,9,9,9.5,NA,NA,NA,NA,NA,7.166666666666667,6.666666666666667,7.333333333333333,8.666666666666666,7,9,8.333333333333334,8.333333333333334,9.5,9.166666666666666,NA,21.5,20,22,26,21,27,25,25,28.5,27.5,NA,3,7,4,1,7,1,2,3,1,2,NA,0.08531746031746032,0.09049773755656108,0.11055276381909548,0.12807881773399016,0.1076923076923077,0.16875,0.17006802721088435,0.19607843137254902,0.2835820895522388,0.3235294117647059,NA
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,6,6.5,6,NA,6,6,5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6.166666666666667,5.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07341269841269842,0.07692307692307693,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,6,5.5,6,NA,5,6,5,NA,7,7,6,NA,6,6,6,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5.833333333333333,5.333333333333333,6.666666666666667,6,NA,NA,NA,NA,NA,NA,NA,17.5,16,20,18,NA,NA,NA,NA,NA,NA,NA,11,10,8,9,NA,NA,NA,NA,NA,NA,NA,0.06944444444444445,0.07239819004524888,0.10050251256281408,0.08866995073891626,NA,NA,NA,NA,NA,NA,NA
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,8,8,8.5,NA,8,8,8,NA,9,10,9,NA,9,8,9,NA,10,9,10,NA,8,10,8,NA,10,10,10,NA,9.5,8.5,9.5,NA,8,8.5,8,NA,10,10,10,NA,NA,NA,NA,NA,8.166666666666666,8,9.333333333333334,8.666666666666666,9.666666666666666,8.666666666666666,10,9.166666666666666,8.166666666666666,10,NA,24.5,24,28,26,29,26,30,27.5,24.5,30,NA,1,1,1,1,1,2,1,1,2,1,NA,0.09722222222222222,0.1085972850678733,0.1407035175879397,0.12807881773399016,0.14871794871794872,0.1625,0.20408163265306123,0.21568627450980393,0.24378109452736318,0.35294117647058826,NA
Gilles Marini,Cheryl Burke,Actor/Actress,NA,France,33,8,2nd Place,2,8,8,8,NA,9,9,9,NA,9,9,9,NA,10,10,10,NA,10,9,10,NA,9,8,9,NA,9,9,9,NA,9,9,9.5,NA,9.5,9,9.5,NA,10,10,10,NA,9.5,10,9.5,NA,8,9,9,10,9.666666666666666,8.666666666666666,9,9.166666666666666,9.333333333333334,10,9.666666666666666,24,27,27,30,29,26,27,27.5,28,30,29,1,1,1,1,1,3,3,2,2,1,2,0.09876543209876543,0.1018867924528302,0.1062992125984252,0.12396694214876033,0.1380952380952381,0.13978494623655913,0.14835164835164835,0.1762820512820513,0.20973782771535582,0.273972602739726,0.3314285714285714
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,6,6,6,NA,7,7,7,NA,5,6,5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,6,7,5.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,18,21,16,NA,NA,NA,NA,NA,NA,NA,NA,7,5,10,NA,NA,NA,NA,NA,NA,NA,NA,0.07407407407407407,0.07924528301886792,0.06299212598425197,NA,NA,NA,NA,NA,NA,NA,NA
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,6,7,6,NA,6,5,6,NA,8,8,8,NA,8,7,7,NA,7,8,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,6.333333333333333,5.666666666666667,8,7.333333333333333,7.333333333333333,NA,NA,NA,NA,NA,NA,19,17,24,22,22,NA,NA,NA,NA,NA,NA,6,11,5,6,6,NA,NA,NA,NA,NA,NA,0.07818930041152264,0.06415094339622641,0.09448818897637795,0.09090909090909091,0.10476190476190476,NA,NA,NA,NA,NA,NA
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,6,5,5,NA,7,6,7,NA,7,6,7,NA,7,5,7,NA,6,7,7,NA,7,7,8,NA,7,7,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,5.333333333333333,6.666666666666667,6.666666666666667,6.333333333333333,6.666666666666667,7.333333333333333,7,NA,NA,NA,NA,16,20,20,19,20,22,21,NA,NA,NA,NA,11,6,8,8,8,6,7,NA,NA,NA,NA,0.06584362139917696,0.07547169811320754,0.07874015748031496,0.07851239669421488,0.09523809523809523,0.11827956989247312,0.11538461538461539,NA,NA,NA,NA
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,5,4,5,NA,7,6,7,NA,8,8,7,NA,9,8,8,NA,7,7,7,NA,6,6,6,NA,8,8,8,NA,9,8,9,NA,7.5,8,7.5,NA,8,8,8,NA,0,0,0,NA,4.666666666666667,6.666666666666667,7.666666666666667,8.333333333333334,7,6,8,8.666666666666666,7.666666666666667,8,NA,14,20,23,25,21,18,24,26,23,24,NA,12,6,6,4,7,7,6,3,5,4,NA,0.05761316872427984,0.07547169811320754,0.09055118110236221,0.10330578512396695,0.1,0.0967741935483871,0.13186813186813187,0.16666666666666666,0.17228464419475656,0.2191780821917808,NA
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,8,8,7,NA,8,8,8,NA,9,9,9,NA,8,8,9,NA,9,8,9,NA,8,9,9,NA,9,9,10,NA,9,8,9,NA,9.5,9,9.5,NA,9.5,9,9.5,NA,10,10,10,NA,7.666666666666667,8,9,8.333333333333334,8.666666666666666,8.666666666666666,9.333333333333334,8.666666666666666,9.333333333333334,9.333333333333334,10,23,24,27,25,26,26,28,26,28,28,30,2,3,1,4,2,3,2,3,2,2,1,0.09465020576131687,0.09056603773584905,0.1062992125984252,0.10330578512396695,0.12380952380952381,0.13978494623655913,0.15384615384615385,0.16666666666666666,0.20973782771535582,0.2557077625570776,0.34285714285714286
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,5,4,4,NA,6,5,6,NA,4,3,3,NA,4,4,4,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,4.333333333333333,5.666666666666667,3.3333333333333335,4,NA,NA,NA,NA,NA,NA,NA,13,17,10,12,NA,NA,NA,NA,NA,NA,NA,13,11,12,11,NA,NA,NA,NA,NA,NA,NA,0.053497942386831275,0.06415094339622641,0.03937007874015748,0.049586776859504134,NA,NA,NA,NA,NA,NA,NA
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,6,6,5,NA,6,6,6,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,5.666666666666667,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06995884773662552,0.06792452830188679,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,6,7,7,NA,6,7,7,NA,8,7,8,NA,8,7,7,NA,7,8,8,NA,8,7,8,NA,9,9,9,NA,8.5,8.5,8.5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,6.666666666666667,6.666666666666667,7.666666666666667,7.333333333333333,7.666666666666667,7.666666666666667,9,8.5,NA,NA,NA,20,20,23,22,23,23,27,25.5,NA,NA,NA,5,6,6,6,5,5,3,5,NA,NA,NA,0.0823045267489712,0.07547169811320754,0.09055118110236221,0.09090909090909091,0.10952380952380952,0.12365591397849462,0.14835164835164835,0.16346153846153846,NA,NA,NA
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,7,7,7,NA,8,7,8,NA,8,8,9,NA,9,8,10,NA,9,8,9,NA,10,8,10,NA,9,8,9,NA,9,9,10,NA,8.5,9,8.5,NA,0,0,0,NA,0,0,0,NA,7,7.666666666666667,8.333333333333334,9,8.666666666666666,9.333333333333334,8.666666666666666,9.333333333333334,8.666666666666666,NA,NA,21,23,25,27,26,28,26,28,26,NA,NA,4,4,4,3,2,1,5,1,4,NA,NA,0.08641975308641975,0.08679245283018867,0.0984251968503937,0.1115702479338843,0.12380952380952381,0.15053763440860216,0.14285714285714285,0.1794871794871795,0.1947565543071161,NA,NA
Steve-O,Lacey Schwimmer,TV Personality,NA,England,34,8,Eliminated Week 6,8,6,5,6,NA,5,4,5,NA,5,5,5,NA,5,5,5,NA,6,6,6,NA,7,4,5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,5.666666666666667,4.666666666666667,5,5,6,5.333333333333333,NA,NA,NA,NA,NA,17,14,15,15,18,16,NA,NA,NA,NA,NA,9,13,11,10,9,8,NA,NA,NA,NA,NA,0.06995884773662552,0.052830188679245285,0.05905511811023622,0.06198347107438017,0.08571428571428572,0.08602150537634409,NA,NA,NA,NA,NA
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,6,6,6,NA,6,6,6,NA,5,6,6,NA,5,6,5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,6,6,5.666666666666667,5.333333333333333,NA,NA,NA,NA,NA,NA,NA,18,18,17,16,NA,NA,NA,NA,NA,NA,NA,7,9,9,9,NA,NA,NA,NA,NA,NA,NA,0.07407407407407407,0.06792452830188679,0.06692913385826772,0.06611570247933884,NA,NA,NA,NA,NA,NA,NA
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,8,7,8,NA,9,8,9,NA,9,9,9,NA,10,9,10,NA,8,8,9,NA,9,9,9,NA,10,9,10,NA,7.5,7.5,8,NA,9.5,9.5,9.5,NA,9,9.5,9,NA,9.5,9.5,9.5,NA,7.666666666666667,8.666666666666666,9,9.666666666666666,8.333333333333334,9,9.666666666666666,7.666666666666667,9.5,9.166666666666666,9.5,23,26,27,29,25,27,29,23,28.5,27.5,28.5,2,2,1,2,4,2,1,6,1,3,3,0.09465020576131687,0.09811320754716982,0.1062992125984252,0.11983471074380166,0.11904761904761904,0.14516129032258066,0.15934065934065933,0.14743589743589744,0.21348314606741572,0.2511415525114155,0.32571428571428573
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,Eliminated Week 1,16,6.3333,7.3333,5.3333,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6.3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046797967676719905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,8,7,7,NA,7,7,7,NA,6,5,6,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,7.333333333333333,7,5.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,22,21,17,NA,NA,NA,NA,NA,NA,NA,NA,10,4,10,NA,NA,NA,NA,NA,NA,NA,NA,0.05418740566465287,0.07142857142857142,0.06589147286821706,NA,NA,NA,NA,NA,NA,NA,NA
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,8,8,8,NA,7,6,6,NA,6,6,7,NA,9,9,10,NA,8,8,7,NA,8.3333,8.3333,7.3333,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,8,6.333333333333333,6.333333333333333,9.333333333333334,7.666666666666667,7.9999666666666664,NA,NA,NA,NA,NA,24,19,19,28,23,23.9999,NA,NA,NA,NA,NA,9,9,8,1,7,8,NA,NA,NA,NA,NA,0.05911353345234858,0.06462585034013606,0.07364341085271318,0.11570247933884298,0.09504132231404959,0.09230762721870961,NA,NA,NA,NA,NA
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,9.6666,9.6666,9.6666,NA,7,7,7,NA,6,6,6,NA,8,7,7,NA,9,9,8,NA,11,11,10,NA,7,7.5,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,9.6666,7,6,7.333333333333333,8.666666666666666,10.666666666666666,7.166666666666667,NA,NA,NA,NA,28.9998,21,18,22,26,32,21.5,NA,NA,NA,NA,6,4,9,7,3,4,7,NA,NA,NA,NA,0.0714283603088091,0.07142857142857142,0.06976744186046512,0.09090909090909091,0.10743801652892562,0.12307734911390078,0.1225071225071225,NA,NA,NA,NA
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,8,7,7,NA,6,7,6,NA,6,5,6,NA,6,5,6,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,7.333333333333333,6.333333333333333,5.666666666666667,5.666666666666667,NA,NA,NA,NA,NA,NA,NA,22,19,17,17,NA,NA,NA,NA,NA,NA,NA,10,9,10,9,NA,NA,NA,NA,NA,NA,NA,0.05418740566465287,0.06462585034013606,0.06589147286821706,0.07024793388429752,NA,NA,NA,NA,NA,NA,NA
